,loss,lr,average_reward,num_buy,num_sell,num_hold
63,3.566648956621066e-05,0.001,-0.016483495011925697,11,8,45
64,3.866932092932984e-05,0.001,-0.017222190275788307,14,4,46
65,2.1176998416194692e-05,0.001,-0.017548443749547005,12,6,46
66,2.1983410988468677e-05,0.001,0.0013875588774681091,9,9,46
67,2.631001189001836e-05,0.001,-0.006848169956356287,9,7,48
68,3.1563511583954096e-05,0.001,-0.0062741683796048164,9,9,46
69,1.5945290215313435e-05,0.001,-0.004808061756193638,7,5,52
70,2.1879935957258567e-05,0.001,-0.0036927536129951477,12,5,47
71,2.316587051609531e-05,0.001,0.00027394993230700493,7,8,49
72,1.4462924809777178e-05,0.001,0.001291260588914156,10,7,47
73,2.605745248729363e-05,0.001,-0.012447599321603775,9,9,46
74,2.163771387131419e-05,0.001,-0.005536962766200304,9,9,46
75,2.1048726921435446e-05,0.001,0.0005303372745402157,7,7,50
76,4.20314863731619e-05,0.001,-0.010859526693820953,8,7,49
77,2.382119419053197e-05,0.001,-0.004585475195199251,10,5,49
78,3.109743556706235e-05,0.001,-0.002249525161460042,9,12,43
79,3.283583646407351e-05,0.001,-0.0024728982243686914,7,10,47
80,2.289810981892515e-05,0.001,-0.001102446112781763,7,9,48
81,3.640117574832402e-05,0.001,-0.0014182719169184566,7,11,46
82,2.514153311494738e-05,0.001,-0.015391888096928596,11,10,43
83,1.3067617146589328e-05,0.001,-0.01187274418771267,10,8,46
84,1.3752418453805149e-05,0.001,-0.0033213363494724035,7,12,45
85,2.895178295148071e-05,0.001,0.0024574054405093193,7,6,51
86,2.8765252864104696e-05,0.001,0.001256655203178525,10,6,48
87,1.475806948292302e-05,0.001,-0.0011076731607317924,6,3,55
88,3.204236054443754e-05,0.001,-0.004867019131779671,10,10,44
89,1.2455219803086948e-05,0.001,-0.0008218191214837134,8,10,46
90,2.5890702090691775e-05,0.001,-0.0024643735960125923,9,6,49
91,1.9470087863737717e-05,0.001,-0.0006588639807887375,13,6,45
92,2.3442287783836946e-05,0.001,-0.005428819917142391,8,9,47
93,2.886951006075833e-05,0.001,-0.0016418959712609649,10,8,46
94,1.31185424834257e-05,0.001,0.0037756834644824266,5,9,50
95,2.7695597964338958e-05,0.001,0.001621425966732204,11,11,42
96,2.932409188360907e-05,0.001,-0.006212367210537195,11,10,43
97,2.0817224140046164e-05,0.001,0.0032652574591338634,11,11,42
98,1.4502793419524096e-05,0.001,-0.0019077653996646404,3,10,51
99,1.0441207450639922e-05,0.001,0.00035100142122246325,2,12,50
100,1.2719438927888405e-05,0.001,-0.0028057454619556665,8,9,47
101,3.43411484209355e-05,0.001,-5.565956234931946e-05,8,12,44
102,2.0990732082282193e-05,0.001,0.0002909080358222127,8,14,42
103,2.5528875994496047e-05,0.001,-0.0025756636168807745,9,14,41
104,3.368815305293538e-05,0.001,-0.0004436211893334985,9,10,45
105,1.594040440977551e-05,0.001,-0.0018023204756900668,14,10,40
106,1.1978056136285886e-05,0.001,0.003939943853765726,9,10,45
107,4.6075201680650935e-06,0.001,-0.0006063394830562174,7,12,45
108,3.695617488119751e-05,0.001,0.00015953159891068935,11,7,46
109,1.0455673873366322e-05,0.001,-0.003702042158693075,3,9,52
110,1.4369565178640187e-05,0.001,0.0005415232153609395,7,10,47
111,1.690268618403934e-05,0.001,0.0005614869296550751,10,7,47
112,2.0321651390986517e-05,0.001,0.00017562060384079814,13,9,42
113,1.0308372111467179e-05,0.001,0.002146508079022169,8,14,42
114,1.4863611795590259e-05,0.001,-0.005364388693124056,6,8,50
115,4.225886732456274e-05,0.001,0.004207382909953594,12,12,40
116,9.806840353121515e-06,0.001,0.0014465179992839694,10,6,48
117,1.7869126168079674e-05,0.001,0.0034676669165492058,14,7,43
118,1.8498940335121006e-05,0.001,-0.001989209558814764,8,10,46
119,4.7450466809095815e-05,0.001,0.00327073666267097,8,8,48
120,4.0666029235580936e-05,0.001,0.0012061239685863256,11,9,44
121,1.5085141058079898e-05,0.001,-0.001461362699046731,8,15,41
122,4.426774466992356e-05,0.001,0.006958794314414263,12,13,39
123,4.171380714979023e-05,0.001,0.000705069163814187,11,6,47
124,1.157322185463272e-05,0.001,0.00029381626518443227,11,7,46
125,1.7986492821364664e-05,0.001,0.0025075844023376703,11,10,43
126,2.2070771592552774e-05,0.001,-0.0025902055203914642,10,7,47
127,2.4056331312749535e-05,0.001,0.0010841360781341791,10,12,42
128,2.3262151444214396e-05,0.001,0.0023608924821019173,11,8,45
129,1.2219540622027125e-05,0.001,0.007370528765022755,9,10,45
130,1.8641334463609383e-05,0.001,0.0003328537568449974,5,8,51
131,1.3025244697928429e-05,0.001,0.0028208023868501186,13,11,40
132,7.841959813958965e-06,0.001,0.0042255949229002,4,11,49
133,1.4971213204262313e-05,0.001,-0.0010142169194296002,7,13,44
134,1.6339396097464487e-05,0.001,0.001457319362089038,9,14,41
135,9.654886525822803e-06,0.001,0.0002201511524617672,12,8,44
136,5.615722329821438e-06,0.001,0.005337304901331663,11,7,46
137,3.56388627551496e-05,0.001,0.0014170644572004676,14,9,41
138,2.242161463072989e-05,0.001,0.004721645265817642,13,7,44
139,1.8271864973939955e-05,0.001,0.0008943615248426795,7,8,49
