,loss,lr,average_reward,num_buy,num_sell,num_hold
91,685.53662109375,0.001,-0.0023473394103348255,8,10,46
92,939.2984619140625,0.001,-0.002890440635383129,10,4,50
93,628.2801513671875,0.001,-0.00344620319083333,10,9,45
94,640.8634033203125,0.001,-0.0005053839413449168,9,7,48
95,667.9967041015625,0.001,0.0015096599236130714,12,10,42
96,825.60498046875,0.001,-0.00010364255285821855,13,7,44
97,773.8209228515625,0.001,-0.001997524406760931,10,9,45
98,663.271728515625,0.001,0.002228179946541786,10,9,45
99,576.9240112304688,0.001,-0.0010406209621578455,16,9,39
100,473.15252685546875,0.001,-0.0018144745845347643,16,9,39
101,537.26220703125,0.001,2.7012181817553937e-05,12,9,43
102,560.9241943359375,0.001,-0.002857329323887825,11,14,39
103,676.430908203125,0.001,-0.002581484615802765,10,11,43
